region,block_id,window_start_h,horizon_h,initial_SOC_MWh,selected_boundary_scarcity,candidate_scores_json,solver_success,runtime_s,mip_gap,terminal_SOC_MWh,audit_passed
RegionA,0,0,192,157.500000000000,0.150302162923,"[{""boundary_scarcity"": 0.017808185012724447, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.1017468404091727, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.15030216292294254, ""horizon_h"": 192.0}]",True,0.055035199999,0.000000000000,334.468770418458,True
RegionA,1,192,168,334.468770418458,0.165871718577,"[{""boundary_scarcity"": 0.12380589407320687, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.16587171857715755, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.15526860932972344, ""horizon_h"": 192.0}]",True,0.052016800000,0.000000000000,350.000000000000,True
RegionA,2,360,168,350.000000000000,0.174483741562,"[{""boundary_scarcity"": 0.125725034731449, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.17448374156213864, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.15662437992528586, ""horizon_h"": 192.0}]",True,0.071980000001,0.000000000000,350.000000000000,True
RegionA,3,528,168,350.000000000000,0.177928272572,"[{""boundary_scarcity"": 0.12400422469448198, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.17792827257165622, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.16471820546082003, ""horizon_h"": 192.0}]",True,0.025692800000,0.000000000000,350.000000000000,True
RegionA,4,696,168,350.000000000000,0.170138389655,"[{""boundary_scarcity"": 0.11142212077513595, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.1701383896545875, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.14038255911450093, ""horizon_h"": 192.0}]",True,0.067929100000,0.000000000000,350.000000000000,True
RegionA,5,864,168,350.000000000000,0.153695259714,"[{""boundary_scarcity"": 0.09147507220672163, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.15369525971429895, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.13566847986562894, ""horizon_h"": 192.0}]",True,0.028472700000,0.000000000000,350.000000000000,True
RegionA,6,1032,168,350.000000000000,0.128229466815,"[{""boundary_scarcity"": 0.08603347276352273, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.1282294668154007, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.10967832378154398, ""horizon_h"": 192.0}]",True,0.030215699999,0.000000000000,350.000000000000,True
RegionA,7,1200,168,350.000000000000,0.105850432733,"[{""boundary_scarcity"": 0.0551501702854929, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.10585043273335258, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.08835279738872596, ""horizon_h"": 192.0}]",True,0.030457600000,0.000000000000,350.000000000000,True
RegionA,8,1368,168,350.000000000000,0.090515410322,"[{""boundary_scarcity"": 0.043749269547003984, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.09051541032153997, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.07088720561905147, ""horizon_h"": 192.0}]",True,0.024929400000,0.000000000000,350.000000000000,True
RegionA,9,1536,168,350.000000000000,0.092444513407,"[{""boundary_scarcity"": 0.034306367822694854, ""horizon_h"": 144.0}, {""boundary_scarcity"": 0.09244451340679267, ""horizon_h"": 168.0}, {""boundary_scarcity"": 0.07178245840076904, ""horizon_h"": 192.0}]",True,0.026875400001,0.000000000000,350.000000000000,True
