Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW,ChargeMode,Evaluation,Scenario,WindowStart_h,Method
0,RegionA,540.190000000000,499.149000449955,468.000000000000,0.000000000000,0.667900000000,0.000000000000,0.000000000000,157.500000000000,499.149000449955,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,41.040999550045,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
1,RegionA,587.870000000000,535.423500000000,468.310000000000,0.000000000000,0.670300000000,0.000000000000,0.000000000000,157.500000000000,535.423500000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,52.446500000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
2,RegionA,650.000000000000,544.320000000000,468.610000000000,0.000000000000,0.669300000000,0.000000000000,0.000000000000,157.500000000000,544.320000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,105.680000000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
3,RegionA,722.350000000000,544.320000000000,468.910000000000,0.000000000000,0.665000000000,0.000000000000,0.000000000000,157.500000000000,544.320000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,178.030000000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
4,RegionA,800.000000000000,544.319999550045,469.220000000000,0.000000000000,0.657800000000,0.000000000000,0.000000000000,157.500000000000,544.319999550045,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,255.680000449955,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
5,RegionA,877.650000000000,544.320000000000,469.520000000000,0.000000000000,0.648300000000,0.000000000000,0.000000000000,157.500000000000,544.320000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,333.330000000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
6,RegionA,950.000000000000,544.320000449955,469.820000000000,0.000000000000,0.637000000000,0.000000000000,0.000000000000,157.500000000000,544.320000449955,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,405.679999550045,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
7,RegionA,1012.130000000000,544.320000449955,723.260000000000,0.000000000000,0.624800000000,0.000000000000,0.000000000000,157.500000000000,544.320000449955,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,467.809999550045,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
8,RegionA,1059.810000000000,544.320000000000,723.710000000000,0.000000000000,0.612600000000,0.000000000000,0.000000000000,157.500000000000,544.320000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,515.490000000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
9,RegionA,1089.780000000000,544.319999550045,724.160000000000,0.000000000000,0.601300000000,0.000000000000,0.000000000000,157.500000000000,544.319999550045,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,545.460000449955,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
10,RegionA,1100.000000000000,531.711000449955,724.610000000000,0.000000000000,0.591700000000,0.000000000000,0.000000000000,157.500000000000,531.711000449955,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,568.288999550045,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
11,RegionA,1089.780000000000,506.101500000000,725.040000000000,0.000000000000,0.584500000000,0.000000000000,0.000000000000,157.500000000000,506.101500000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,583.678500000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
12,RegionA,1059.810000000000,466.478999550045,725.480000000000,0.000000000000,0.580200000000,0.000000000000,0.000000000000,157.500000000000,466.478999550045,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,593.331000449955,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
13,RegionA,1012.130000000000,443.666700000000,725.900000000000,0.000000000000,0.579100000000,0.000000000000,0.000000000000,157.500000000000,443.666700000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,568.463300000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
14,RegionA,950.000000000000,423.087299550045,726.320000000000,0.000000000000,0.581400000000,0.000000000000,0.000000000000,157.500000000000,423.087299550045,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,526.912700449955,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
15,RegionA,877.650000000000,379.066500000000,726.740000000000,0.000000000000,0.586900000000,0.000000000000,0.000000000000,157.500000000000,379.066500000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,498.583500000000,0.000000000000,0.000000000000,0,full_cycle_baseline_reference,observed,0,no_storage_renewable_first
