TaskID,OldLatency_ms,NewLatency_ms,ObjectiveGain
26299,5.0,22.0,139.36792144320006
14640,5.0,18.0,28.040798661332246
5450,5.0,18.0,27.158803613865587
15673,5.0,22.0,119.05958400000131
7759,5.0,18.0,10.869671517595691
41632,5.0,18.0,14.001727694929954
2690,5.0,22.0,71.1797399551981
35299,5.0,25.0,55.62891501120053
21674,5.0,25.0,50.17803730400102
6384,5.0,22.0,52.79981114240074
84,5.0,18.0,4.29444836479901
48009,5.0,5.0,0.7172403839994388
19608,5.0,22.0,39.593287994667016
49231,5.0,25.0,20.632041120000295
45189,5.0,15.0,5.04627438000022
14112,5.0,22.0,26.55355780824165
45525,5.0,25.0,19.63205465600062
9170,5.0,14.0,2.0447080799999213
28855,5.0,15.0,4.160719140000211
11646,5.0,22.0,11.226301730000122
12511,5.0,25.0,13.203039306666849
18585,5.0,25.0,13.445333222400343
29531,5.0,12.0,2.291277674999968
33300,5.0,22.0,8.134886218666708
8692,5.0,22.0,13.254689248000258
3445,5.0,22.0,12.887169356575008
15080,5.0,14.0,0.3450435263994933
34306,5.0,12.0,1.251139260000123
16511,5.0,22.0,8.908926587133323
24169,5.0,22.0,5.207549235333475
44123,5.0,22.0,3.981137417999948
13868,5.0,22.0,6.2596347135997785
1930,5.0,14.0,0.23829011999988126
13847,5.0,14.0,0.45670439999999957
11033,5.0,12.0,0.40673336250002645
22975,5.0,22.0,1.8409005900000732
40493,5.0,25.0,2.227592496000079
34003,5.0,18.0,0.17833822299998303
46612,5.0,12.0,0.17085900000003917
28419,5.0,22.0,0.6055103926666783
9537,5.0,15.0,0.048305850000000206
12072,5.0,22.0,92.178426383192
14374,5.0,22.0,86.530611657592
44126,5.0,5.0,5.374745755202582
34622,5.0,22.0,67.39511313999894
30279,5.0,22.0,51.40765789892768
4742,5.0,15.0,21.899077247997695
10691,5.0,18.0,0.5890795221289409
12084,5.0,25.0,47.36193265173442
26211,5.0,18.0,6.9721891810659
11953,5.0,25.0,22.175211040000775
20619,5.0,25.0,18.706360867999166
30463,5.0,25.0,18.555279254934
20510,5.0,18.0,4.789743504799528
5348,5.0,25.0,16.654816366933723
28291,5.0,12.0,2.5047691949989073
47055,5.0,25.0,7.086723795832718
23279,5.0,12.0,2.5334014079991434
28627,5.0,14.0,0.5647550850000549
9233,5.0,25.0,4.834472733166187
44429,5.0,25.0,7.593917178666784
13959,5.0,15.0,1.7096768640001763
36974,5.0,18.0,0.2840845205322715
14687,5.0,25.0,6.224153200800442
25727,5.0,14.0,0.32355198200000856
49610,5.0,12.0,1.0490528999997295
31200,5.0,25.0,3.4353786399994206
48568,5.0,25.0,5.501641471999298
44241,5.0,25.0,2.0984393559998553
30358,5.0,14.0,0.11157247750008814
29032,5.0,14.0,0.1883833679996414
47481,5.0,25.0,1.1403070000000488
31516,5.0,22.0,1.5089758499999495
37109,5.0,22.0,2.5978856511999373
13879,5.0,18.0,0.013293799999988698
25044,5.0,14.0,9.417860374403176
9483,5.0,18.0,11.433368657195047
4020,5.0,18.0,37.89013715999607
14921,5.0,18.0,21.2807653039996
16661,5.0,14.0,11.35261090239186
6016,5.0,25.0,55.08380561280009
12976,5.0,25.0,55.41548912799955
47834,5.0,25.0,41.948941934398974
45050,5.0,18.0,3.795341837600404
47915,5.0,18.0,14.012406070931505
31506,5.0,25.0,32.19688620799907
22330,5.0,25.0,32.97904344640068
24179,5.0,25.0,26.50471389439968
47097,5.0,14.0,4.41986988320059
17364,5.0,25.0,22.57601190240117
49665,5.0,5.0,0.07131360000027342
36270,5.0,22.0,27.421692240000652
23341,5.0,22.0,21.728450634667027
14042,5.0,18.0,4.592045596801235
20728,5.0,15.0,4.9166630300019705
37652,5.0,25.0,17.830308485865586
11283,5.0,14.0,1.2256404339998213
75,5.0,25.0,8.094086299999859
40629,5.0,15.0,5.146050400003055
25876,5.0,18.0,2.404427110400352
45713,5.0,14.0,1.1980450320019642
12529,5.0,25.0,9.695489382400353
34240,5.0,15.0,2.5281119100009697
25812,5.0,15.0,2.4107309400011836
31977,5.0,12.0,1.3146973500005785
40001,5.0,14.0,0.42816537500076635
20253,5.0,25.0,0.1880091966667372
41484,5.0,14.0,0.33972205200045025
22372,5.0,25.0,3.1083233166662403
40014,5.0,14.0,0.24017532800049324
18519,5.0,14.0,0.1624391750002534
25752,5.0,12.0,1.0020950400002917
46736,5.0,15.0,0.9133059750003891
18202,5.0,15.0,0.8910536714998631
24913,5.0,15.0,0.6199484190007425
12937,5.0,14.0,0.05788275750017391
8678,5.0,14.0,0.10565146560048788
21075,5.0,12.0,0.06009312000001943
21574,5.0,15.0,0.06836543999995293
48170,5.0,25.0,0.1976468789999919
2703,5.0,25.0,102.55771208534333
5096,5.0,12.0,59.095444259999624
4588,5.0,5.0,5.316066749998811
10496,5.0,5.0,3.593178777599462
27644,5.0,22.0,110.83917278293293
22079,5.0,14.0,42.69337406720274
6224,5.0,5.0,9.298970503730857
2671,5.0,5.0,7.7781952000043475
29760,5.0,15.0,30.36741096960162
15810,5.0,22.0,75.84249389921115
27871,5.0,12.0,7.291651439992478
40372,5.0,5.0,3.5409047071995445
15119,5.0,15.0,30.238098803192884
46964,5.0,18.0,11.728778736581333
37041,5.0,12.0,24.567577499999402
43181,5.0,5.0,11.082283560006204
30934,5.0,12.0,14.628803951995991
40202,5.0,18.0,9.339474692799165
9676,5.0,22.0,40.2263770581352
3765,5.0,5.0,7.813755215997844
13203,5.0,5.0,3.788830246398085
3253,5.0,5.0,0.9236897279989051
16833,5.0,25.0,26.38828746000207
43586,5.0,5.0,1.3036549119997147
34562,5.0,5.0,3.375846335994879
49812,5.0,18.0,5.578535818665763
4368,5.0,15.0,7.9967467728006625
30211,5.0,5.0,3.8422279213317054
6382,5.0,12.0,3.473491709999216
283,5.0,25.0,17.258110468801085
19278,5.0,15.0,4.146687132000039
30724,5.0,5.0,0.9008303488003229
35467,5.0,15.0,1.1103312120006734
37355,5.0,5.0,1.0883274719983156
46482,5.0,25.0,9.321269403201473
25700,5.0,14.0,4.580581919999354
24815,5.0,15.0,2.054598305666179
39129,5.0,22.0,8.565664746666059
22157,5.0,18.0,1.2754781704998468
15802,5.0,5.0,0.03381213933140259
22988,5.0,25.0,4.090497029333516
33698,5.0,14.0,0.3693724619989922
912,5.0,12.0,1.1107289099994482
49112,5.0,14.0,0.3057383880008899
48373,5.0,25.0,3.3679685025004744
28789,5.0,15.0,1.3246178850006238
33159,5.0,14.0,0.1533526634997795
7226,5.0,25.0,2.5324901266672173
44474,5.0,15.0,0.8326716060010337
14743,5.0,25.0,1.7840119050002672
21588,5.0,14.0,0.09236751999989679
8124,5.0,25.0,1.280246109000203
28403,5.0,15.0,0.18228802800013488
38259,5.0,25.0,0.3672766499999347
20240,5.0,22.0,0.44280873000014065
3259,5.0,18.0,25.3357906999951
5542,5.0,12.0,18.754623299974924
32517,5.0,22.0,96.666073407993
48703,5.0,18.0,11.583747839993833
13940,5.0,25.0,69.33429364906883
17016,5.0,25.0,56.79409952427129
48306,5.0,25.0,49.0207559360105
43753,5.0,25.0,40.60843191360789
42723,5.0,25.0,33.08785648000436
6447,5.0,18.0,3.4466854775967306
42788,5.0,5.0,0.08409403733017484
26685,5.0,25.0,22.872998120006592
28909,5.0,22.0,24.09081641999598
2743,5.0,25.0,17.999076451198754
10175,5.0,14.0,0.03954399199863445
318,5.0,25.0,9.751280753999794
6429,5.0,25.0,14.69935561600148
31979,5.0,25.0,13.027793279999479
27007,5.0,25.0,5.870378513069131
8390,5.0,22.0,11.942299143998941
21492,5.0,25.0,1.40803355100077
47855,5.0,25.0,1.3032098666680056
22231,5.0,25.0,5.929220710401491
32621,5.0,12.0,1.25522377499896
24313,5.0,22.0,4.115267788000324
3313,5.0,12.0,0.83912398500037
39595,5.0,25.0,4.902769312000583
20217,5.0,25.0,0.7187999218679497
39019,5.0,25.0,2.2875705866665497
24542,5.0,25.0,1.2809906049998916
27799,5.0,12.0,0.30523773000037835
28080,5.0,18.0,0.16069079999990832
17966,5.0,15.0,0.284789585999774
30223,5.0,22.0,0.9477959333332888
41624,5.0,25.0,0.1286544080000227
23077,5.0,22.0,106.10549629441613
32183,5.0,22.0,106.52091489280312
40655,5.0,18.0,11.326593318391986
28960,5.0,5.0,4.029813792000255
47129,5.0,18.0,6.805312821333715
47045,15.0,5.0,3.968838360812981
2761,5.0,15.0,9.955343711999689
6859,5.0,18.0,4.693372931984754
3120,5.0,18.0,0.8675361999926992
43633,5.0,18.0,1.6611438933224036
43760,5.0,22.0,35.95603023200279
34995,5.0,5.0,0.7115927040054544
13173,5.0,25.0,31.265056857608954
13348,5.0,12.0,7.722496559989267
3489,5.0,12.0,5.521429091989546
31205,5.0,25.0,22.95031464000912
4756,5.0,25.0,21.55109851920441
22269,5.0,5.0,1.2252298679932494
26937,5.0,25.0,9.13243344450396
13385,5.0,25.0,9.804430507500818
44737,5.0,14.0,1.00560066999914
38678,5.0,25.0,8.652400433336254
10437,5.0,25.0,13.139101646937409
20830,5.0,25.0,7.2188753066688225
49321,5.0,15.0,2.6833919610015897
25530,5.0,12.0,1.8856725600015878
1807,5.0,25.0,6.3338073466685785
2894,5.0,25.0,10.131769728003839
34498,5.0,22.0,8.474590086397928
12024,5.0,12.0,1.3048169250006154
34436,5.0,18.0,0.2596151959986095
11729,5.0,25.0,7.352865194669638
27294,5.0,12.0,1.0544409750011532
49429,5.0,25.0,3.0065736100013742
41222,5.0,25.0,4.55865608800152
14986,5.0,25.0,2.4777044793344496
32723,5.0,25.0,2.2035042880006337
26530,5.0,25.0,1.4206821413340216
30942,5.0,14.0,0.009714373999136328
15172,5.0,15.0,0.23791768249909406
44543,5.0,25.0,0.5838695566670826
33676,5.0,12.0,0.11870579999968589
4559,5.0,15.0,0.05764746799966014
33480,5.0,5.0,54.20954822878946
43819,5.0,25.0,90.26369952000996
392,5.0,18.0,25.915065407992188
21113,5.0,18.0,21.38749256372705
34632,5.0,18.0,21.18177362826009
2434,5.0,25.0,54.14095693494451
20222,5.0,18.0,23.96985965759309
24664,5.0,22.0,76.77157267200978
42631,5.0,22.0,50.586879159998034
22812,5.0,18.0,13.732957226660375
42774,5.0,12.0,8.606557920000995
33002,5.0,25.0,40.55007170399857
1818,5.0,25.0,36.865484442675196
39706,5.0,25.0,30.77071310933887
43284,5.0,18.0,6.474854338926342
47335,5.0,25.0,22.834773024004278
12155,5.0,25.0,20.757819216002126
