TaskID,OldLatency_ms,NewLatency_ms,ObjectiveGain
5450,5.0,5.0,0.18227950506681623
2690,5.0,5.0,0.00554449919968647
6384,5.0,5.0,1.099194675200863
48009,5.0,5.0,0.7172403839994388
45189,5.0,15.0,5.04627438000022
9170,5.0,14.0,2.0447080799999213
28855,5.0,15.0,4.160719140000211
29531,5.0,12.0,2.291277674999968
15080,5.0,14.0,0.3450435263994933
34306,5.0,12.0,1.251139260000123
1930,5.0,14.0,0.23829011999988126
13847,5.0,14.0,0.45670439999999957
11033,5.0,12.0,0.40673336250002645
46612,5.0,12.0,0.17085900000003917
9537,5.0,15.0,0.048305850000000206
12072,5.0,5.0,1.7066194943998596
44126,5.0,5.0,5.374745755202582
34622,5.0,5.0,3.0054115840051736
4742,5.0,15.0,21.899077247997695
12084,5.0,5.0,1.8743770965376143
28291,5.0,12.0,2.5047691949989073
23279,5.0,12.0,2.5334014079991434
28627,5.0,14.0,0.5647550850000549
13959,5.0,15.0,1.7096768640001763
25727,5.0,14.0,0.32355198200000856
49610,5.0,12.0,1.0490528999997295
30358,5.0,14.0,0.11157247750008814
29032,5.0,14.0,0.1883833679996414
25044,5.0,14.0,9.417860374403176
4020,5.0,5.0,15.521793840000043
14921,5.0,5.0,14.449727234666511
16661,5.0,14.0,11.35261090239186
47915,5.0,5.0,5.683604646399942
22330,5.0,5.0,0.9387207167976612
47097,5.0,14.0,4.41986988320059
23631,5.0,5.0,0.633578899998966
49665,5.0,5.0,2.038691999998548
20728,5.0,15.0,4.9166630300019705
11283,5.0,14.0,1.2256404339998213
40629,5.0,15.0,5.146050400003055
45713,5.0,14.0,1.1980450320019642
34240,5.0,15.0,2.5281119100009697
25812,5.0,15.0,2.4107309400011836
31977,5.0,12.0,1.3146973500005785
40001,5.0,14.0,0.42816537500076635
41484,5.0,14.0,0.33972205200045025
40014,5.0,14.0,0.24017532800049324
18519,5.0,14.0,0.1624391750002534
25752,5.0,12.0,1.0020950400002917
