Method,Hour,Region,AI_IT_Load_MW,Total_IT_Load_MW,Facility_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,ElectricityCost_CNY,CarbonEmission_tCO2
full_horizon_FIFO_latency_feasible_local_first,0,RegionA,1.7583333333333337,369.74000033333346,499.1490004500001,540.1899999999999,499.1490004500001,233601.73221060008,333.3816174005551
full_horizon_FIFO_latency_feasible_local_first,1,RegionA,3.58,396.61,535.4235,587.8700000000002,535.4235,250744.17928499996,358.89437205
full_horizon_FIFO_latency_feasible_local_first,2,RegionA,7.536000000000001,403.2000000000001,544.3200000000002,650.0,544.3200000000002,255073.79520000005,364.313376
full_horizon_FIFO_latency_feasible_local_first,3,RegionA,10.915000000000003,403.1999999999999,544.32,722.35,544.32,255237.0912000001,361.9728000000002
full_horizon_FIFO_latency_feasible_local_first,4,RegionA,12.64666666666667,403.19999966666666,544.3199995499999,800.0,544.3199995499999,255405.83018885105,358.05369570399006
full_horizon_FIFO_latency_feasible_local_first,5,RegionA,13.010000000000002,403.20000000000005,544.32,877.65,544.32,255569.12640000007,352.88265600000005
full_horizon_FIFO_latency_feasible_local_first,6,RegionA,10.717333333333336,403.2000003333333,544.3200004500001,950.0,544.3200004500001,255732.42261141905,346.7318402866501
full_horizon_FIFO_latency_feasible_local_first,7,RegionA,11.889333333333338,403.20000033333343,544.3200004500002,1012.1299999999998,544.3200004500002,393684.88352546707,340.09113628116006
full_horizon_FIFO_latency_feasible_local_first,8,RegionA,23.380000000000003,403.2,544.32,1059.8099999999997,544.32,393929.8272,333.4504319999999
full_horizon_FIFO_latency_feasible_local_first,9,RegionA,21.288666666666668,403.19999966666677,544.31999955,1089.7799999999997,544.31999955,394174.770874128,327.299615729415
full_horizon_FIFO_latency_feasible_local_first,10,RegionA,19.44333333333333,393.8600003333333,531.7110004500001,1100.0,531.7110004500001,385283.1080360747,314.6133989662651
full_horizon_FIFO_latency_feasible_local_first,11,RegionA,19.031999999999993,374.89,506.1015000000001,1089.7799999999997,506.1015000000001,366943.8315599999,295.81632674999986
full_horizon_FIFO_latency_feasible_local_first,12,RegionA,13.992666666666668,345.53999966666674,466.4789995500001,1059.8099999999997,466.4789995500001,338421.184593534,270.65111553891
full_horizon_FIFO_latency_feasible_local_first,13,RegionA,12.840000000000002,328.64200000000017,443.6667000000001,1012.1299999999998,443.6667000000001,322057.6575300001,256.92738597
full_horizon_FIFO_latency_feasible_local_first,14,RegionA,7.158666666666667,313.39799966666675,423.08729954999995,950.0,423.08729954999995,307296.767409156,245.98295595837004
full_horizon_FIFO_latency_feasible_local_first,15,RegionA,6.628000000000003,280.7899999999999,379.0665000000001,877.65,379.0665000000001,275482.78821,222.47412885000003
full_horizon_FIFO_latency_feasible_local_first,16,RegionA,18.250666666666675,247.43999966666664,334.04399954999997,800.0,334.04399954999997,242896.753832787,198.88979733207003
full_horizon_FIFO_latency_feasible_local_first,17,RegionA,17.319666666666663,234.74999966666667,316.91249954999995,722.35,316.91249954999995,334317.3340252859,192.11235722721
full_horizon_FIFO_latency_feasible_local_first,18,RegionA,17.65966666666667,221.8099996666667,299.4434995500001,650.0,299.4434995500001,316059.6193400296,185.29563752153996
full_horizon_FIFO_latency_feasible_local_first,19,RegionA,58.87066666666666,286.2899996666667,386.49149955000007,587.8700000000002,386.49149955000007,408146.6182697864,244.30127686555502
full_horizon_FIFO_latency_feasible_local_first,20,RegionA,58.00366666666667,245.0999996666666,330.8849995499999,540.1899999999999,330.8849995499999,349599.8551245481,213.58626720952495
full_horizon_FIFO_latency_feasible_local_first,21,RegionA,66.14899999999999,278.61,376.1235000000001,510.2200000000002,376.1235000000001,397592.62937999994,247.48926300000005
full_horizon_FIFO_latency_feasible_local_first,22,RegionA,66.56266666666669,287.40999966666664,388.00349954999996,500.0,388.00349954999996,254697.13720960647,259.45794014908495
full_horizon_FIFO_latency_feasible_local_first,23,RegionA,81.17466666666665,302.9099996666667,408.92849954999997,510.2200000000002,408.92849954999997,268555.6135094716,276.885487045305
full_horizon_FIFO_latency_feasible_local_first,24,RegionA,56.893333333333324,354.19000033333344,478.1565004500001,540.1899999999999,478.1565004500001,226894.822593534,326.3418115571251
full_horizon_FIFO_latency_feasible_local_first,25,RegionA,21.820666666666664,367.16999966666657,495.67949955,587.8700000000002,495.67949955,235308.972026376,339.34218539193
full_horizon_FIFO_latency_feasible_local_first,26,RegionA,10.841333333333335,403.2000003333333,544.32000045,650.0,544.32000045,258503.01141370952,371.93385630748514
full_horizon_FIFO_latency_feasible_local_first,27,RegionA,5.349999999999999,403.2,544.32,722.35,544.32,258606.43200000003,369.4299840000001
full_horizon_FIFO_latency_feasible_local_first,28,RegionA,6.560000000000005,403.2,544.32,800.0,544.32,258704.40959999996,365.34758400000015
full_horizon_FIFO_latency_feasible_local_first,29,RegionA,23.82266666666666,403.19999966666654,544.31999955,877.65,544.31999955,258796.94378604757,359.90438370246
full_horizon_FIFO_latency_feasible_local_first,30,RegionA,46.89833333333334,403.2000003333333,544.3200004500001,950.0,544.3200004500001,258884.03541402458,353.5902722923201
full_horizon_FIFO_latency_feasible_local_first,31,RegionA,57.169666666666664,403.19999966666654,544.31999955,1012.1299999999998,544.31999955,398409.58047062706,346.73183971335004
full_horizon_FIFO_latency_feasible_local_first,32,RegionA,39.93733333333333,403.20000033333343,544.32000045,1059.8099999999997,544.32000045,398529.33152947214,339.92784028102506
full_horizon_FIFO_latency_feasible_local_first,33,RegionA,31.460999999999995,403.2000000000001,544.3199999999999,1089.7799999999997,544.3199999999999,398643.63839999994,333.559296
full_horizon_FIFO_latency_feasible_local_first,34,RegionA,49.94666666666667,412.2699996666668,556.5644995500002,1100.0,556.5644995500002,407716.88979034795,335.44142387878514
full_horizon_FIFO_latency_feasible_local_first,35,RegionA,33.431333333333335,398.06000033333333,537.38100045,1089.7799999999997,537.38100045,393760.554269733,319.7416952677499
full_horizon_FIFO_latency_feasible_local_first,36,RegionA,44.385999999999996,359.36999999999995,485.1494999999998,1059.8099999999997,485.1494999999998,355566.06854999997,286.3352348999999
full_horizon_FIFO_latency_feasible_local_first,37,RegionA,50.721000000000004,337.93466699999993,456.21180045,1012.1299999999998,456.21180045,334426.0603198725,268.571886924915
full_horizon_FIFO_latency_feasible_local_first,38,RegionA,35.0,312.9040000000001,422.42040000000003,950.0,422.42040000000003,309710.1888719999,249.43924620000004
full_horizon_FIFO_latency_feasible_local_first,39,RegionA,29.77933333333333,297.13400033333346,401.1309004500001,877.65,401.1309004500001,294149.28929998504,238.87345121797503
full_horizon_FIFO_latency_feasible_local_first,40,RegionA,16.87666666666666,277.9299996666667,375.2054995500001,800.0,375.2054995500001,275175.71336997004,226.43651897842508
full_horizon_FIFO_latency_feasible_local_first,41,RegionA,11.573333333333336,243.63000033333327,328.90050045000015,722.35,328.90050045000015,349805.416258602,201.87912717621006
full_horizon_FIFO_latency_feasible_local_first,42,RegionA,14.389333333333335,214.81000033333342,289.99350045,650.0,289.99350045,308457.38662365155,181.47793258161008
full_horizon_FIFO_latency_feasible_local_first,43,RegionA,18.450999999999997,220.23999999999995,297.324,587.8700000000002,297.324,316278.405,189.8711064
full_horizon_FIFO_latency_feasible_local_first,44,RegionA,30.541999999999998,256.54999999999995,346.3424999999999,540.1899999999999,346.3424999999999,368446.07834999997,225.60750449999992
full_horizon_FIFO_latency_feasible_local_first,45,RegionA,28.439333333333334,242.85000033333327,327.84750045,510.2200000000002,327.84750045,348783.8418287369,217.46124704848495
full_horizon_FIFO_latency_feasible_local_first,46,RegionA,37.24766666666667,308.8299996666667,416.92049955000016,500.0,416.92049955000016,275309.28267284704,280.795956446925
full_horizon_FIFO_latency_feasible_local_first,47,RegionA,44.504,327.96000000000015,442.74600000000004,510.2200000000002,442.74600000000004,292358.4661800001,301.5985752000002
full_horizon_FIFO_latency_feasible_local_first,48,RegionA,50.00633333333332,349.6600003333333,472.04100045000007,540.1899999999999,472.04100045000007,225116.35311460495,323.8201263086999
full_horizon_FIFO_latency_feasible_local_first,49,RegionA,39.43333333333333,392.89000033333326,530.40150045,587.8700000000002,530.40150045,252937.86753459595,364.70407170942
full_horizon_FIFO_latency_feasible_local_first,50,RegionA,36.64400000000001,404.1999999999999,545.6700000000001,650.0,545.6700000000001,260202.73950000003,374.16591900000014
full_horizon_FIFO_latency_feasible_local_first,51,RegionA,35.931000000000004,404.9,546.6150000000001,722.35,546.6150000000001,260631.49815000003,371.9715075000001
full_horizon_FIFO_latency_feasible_local_first,52,RegionA,35.78133333333332,402.80000033333334,543.7800004500001,800.0,543.7800004500001,259252.55301454206,365.6376723025799
full_horizon_FIFO_latency_feasible_local_first,53,RegionA,36.36,401.9799999999999,542.673,877.65,542.673,258692.2191,359.14099140000025
full_horizon_FIFO_latency_feasible_local_first,54,RegionA,36.05266666666666,399.49999966666667,539.3249995500001,950.0,539.3249995500001,257058.47453551646,350.34551970767995
full_horizon_FIFO_latency_feasible_local_first,55,RegionA,14.672666666666661,398.74333366666656,538.30350045,1012.1299999999998,538.30350045,394662.59438992204,342.57634768638013
full_horizon_FIFO_latency_feasible_local_first,56,RegionA,4.192000000000001,399.9,539.8650000000001,1059.8099999999997,539.8650000000001,395737.2409500002,336.4978545000001
full_horizon_FIFO_latency_feasible_local_first,57,RegionA,7.3726666666666665,402.21166666666664,542.98575,1089.7799999999997,542.98575,397948.82631750015,331.7099946750001
